L0 Node ID,L0 Node Name,L1 Node ID,L1 Node Name,L2 Node ID,L2 Node Name
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000142,Canning & Preserving
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000143,Celebrities & TV Shows
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000144,Cooking by Ingredient
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000145,Cooking Education & Reference
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000146,Cooking Methods
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000147,Desserts
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000148,Entertaining & Holidays
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000149,Kitchen Appliances
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000150,Main Courses & Side Dishes
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000151,Outdoor Cooking
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000152,Professional Cooking
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000153,Regional & International
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000154,Special Diet
1000000,Books & Other Media,1000139,"Books - Cookbooks, Food & Wine",1000155,Vegetarian & Vegan
1000000,Books & Other Media,1000156,"Books - Crafts, Hobbies & Home",1000157,Antiques & Collectibles
1000000,Books & Other Media,1000156,"Books - Crafts, Hobbies & Home",1000158,Crafts & Hobbies
1000000,Books & Other Media,1000156,"Books - Crafts, Hobbies & Home",1000159,Gardening & Landscape Design
1000000,Books & Other Media,1000156,"Books - Crafts, Hobbies & Home",1000160,Home Improvement & Design
1000000,Books & Other Media,1000156,"Books - Crafts, Hobbies & Home",1000161,Pets & Animal Care
1000000,Books & Other Media,1000156,"Books - Crafts, Hobbies & Home",1000162,Weddings
1000000,Books & Other Media,1000163,Books - Education & Reference,1000164,Almanacs & Yearbooks
1000000,Books & Other Media,1000163,Books - Education & Reference,1000165,Atlases & Maps
1000000,Books & Other Media,1000163,Books - Education & Reference,1000166,Catalogs & Directories
1000000,Books & Other Media,1000163,Books - Education & Reference,1000167,College & University
1000000,Books & Other Media,1000163,Books - Education & Reference,1000168,Consumer Guides
1000000,Books & Other Media,1000163,Books - Education & Reference,1000169,Dictionaries & Thesauruses
1000000,Books & Other Media,1000163,Books - Education & Reference,1000170,Encyclopedias
1000000,Books & Other Media,1000163,Books - Education & Reference,1000171,English as a Second Language
1000000,Books & Other Media,1000163,Books - Education & Reference,1000172,Etiquette
1000000,Books & Other Media,1000163,Books - Education & Reference,1000173,Foreign Language Study & Reference
1000000,Books & Other Media,1000163,Books - Education & Reference,1000174,Genealogy
1000000,Books & Other Media,1000163,Books - Education & Reference,1000175,Graduate School
1000000,Books & Other Media,1000163,Books - Education & Reference,1000176,Quotations
1000000,Books & Other Media,1000163,Books - Education & Reference,1000177,Teaching Resources & Workbooks
1000000,Books & Other Media,1000163,Books - Education & Reference,1000178,Studying & Workbooks
1000000,Books & Other Media,1000163,Books - Education & Reference,1000179,Test Prep & Higher Education
1000000,Books & Other Media,1000163,Books - Education & Reference,1000180,Trivia & Fun Facts
1000000,Books & Other Media,1000163,Books - Education & Reference,1000181,"Words, Language & Grammar"
1000000,Books & Other Media,1000163,Books - Education & Reference,1000182,"Writing, Research & Publishing Guides"
1000000,Books & Other Media,1000163,Books - Education & Reference,1000468,Survival & Emergency Preparedness
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000184,Addiction & Recovery
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000185,Aging
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000186,Alternative Medicine
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000187,Beauty & Style
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000188,Children's Health
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000189,Diets & Weight Loss
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000190,Diseases & Physical Ailments
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000191,Exercise & Fitness
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000192,Men's Health
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000193,Mental Health
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000194,Diet & Nutrition
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000195,Psychology & Counseling
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000196,Reference
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000197,Safety & First Aid
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000198,Sexual Health
1000000,Books & Other Media,1000183,"Books - Health, Fitness & Dieting",1000199,Teen Health
