CategoryID,AttributeID,description,display_name,free_text,variant
9000137,513059863117215,Import Designation,Import Designation,No,No
9000138,513059863117215,Import Designation,Import Designation,No,No
9000139,513059863117215,Import Designation,Import Designation,No,No
9000140,513059863117215,Import Designation,Import Designation,No,No
9000142,513059863117215,Import Designation,Import Designation,No,No
9000160,513059863117215,Import Designation,Import Designation,No,No
9000196,513059863117215,Import Designation,Import Designation,No,No
9000198,513059863117215,Import Designation,Import Designation,No,No
9000199,513059863117215,Import Designation,Import Designation,No,No
9000200,513059863117215,Import Designation,Import Designation,No,No
9000201,513059863117215,Import Designation,Import Designation,No,No
9000202,513059863117215,Import Designation,Import Designation,No,No
9000203,513059863117215,Import Designation,Import Designation,No,No
9000204,513059863117215,Import Designation,Import Designation,No,No
9000205,513059863117215,Import Designation,Import Designation,No,No
9000206,513059863117215,Import Designation,Import Designation,No,No
9000207,513059863117215,Import Designation,Import Designation,No,No
9000208,513059863117215,Import Designation,Import Designation,No,No
9000209,513059863117215,Import Designation,Import Designation,No,No
9000210,513059863117215,Import Designation,Import Designation,No,No
9000211,513059863117215,Import Designation,Import Designation,No,No
9000212,513059863117215,Import Designation,Import Designation,No,No
9000224,513059863117215,Import Designation,Import Designation,No,No
9000236,513059863117215,Import Designation,Import Designation,No,No
9000237,513059863117215,Import Designation,Import Designation,No,No
9000241,513059863117215,Import Designation,Import Designation,No,No
9000262,513059863117215,Import Designation,Import Designation,No,No
9000263,513059863117215,Import Designation,Import Designation,No,No
9000264,513059863117215,Import Designation,Import Designation,No,No
9000265,513059863117215,Import Designation,Import Designation,No,No
9000266,513059863117215,Import Designation,Import Designation,No,No
9000267,513059863117215,Import Designation,Import Designation,No,No
9000268,513059863117215,Import Designation,Import Designation,No,No
9000271,513059863117215,Import Designation,Import Designation,No,No
9000272,513059863117215,Import Designation,Import Designation,No,No
9000273,513059863117215,Import Designation,Import Designation,No,No
9000274,513059863117215,Import Designation,Import Designation,No,No
9000275,513059863117215,Import Designation,Import Designation,No,No
9000307,513059863117215,Import Designation,Import Designation,No,No
16000008,513059863117215,Import Designation,Import Designation,No,No
16000010,513059863117215,Import Designation,Import Designation,No,No
16000011,513059863117215,Import Designation,Import Designation,No,No
16000012,513059863117215,Import Designation,Import Designation,No,No
16000014,513059863117215,Import Designation,Import Designation,No,No
16000015,513059863117215,Import Designation,Import Designation,No,No
16000018,513059863117215,Import Designation,Import Designation,No,No
16000019,513059863117215,Import Designation,Import Designation,No,No
16000020,513059863117215,Import Designation,Import Designation,No,No
16000021,513059863117215,Import Designation,Import Designation,No,No
16000022,513059863117215,Import Designation,Import Designation,No,No
16000023,513059863117215,Import Designation,Import Designation,No,No
16000024,513059863117215,Import Designation,Import Designation,No,No
16000025,513059863117215,Import Designation,Import Designation,No,No
16000026,513059863117215,Import Designation,Import Designation,No,No
16000033,513059863117215,Import Designation,Import Designation,No,No
16000035,513059863117215,Import Designation,Import Designation,No,No
16000036,513059863117215,Import Designation,Import Designation,No,No
16000039,513059863117215,Import Designation,Import Designation,No,No
16000051,513059863117215,Import Designation,Import Designation,No,No
16000053,513059863117215,Import Designation,Import Designation,No,No
16000054,513059863117215,Import Designation,Import Designation,No,No
16000055,513059863117215,Import Designation,Import Designation,No,No
16000056,513059863117215,Import Designation,Import Designation,No,No
16000057,513059863117215,Import Designation,Import Designation,No,No
16000058,513059863117215,Import Designation,Import Designation,No,No
16000059,513059863117215,Import Designation,Import Designation,No,No
16000060,513059863117215,Import Designation,Import Designation,No,No
16000061,513059863117215,Import Designation,Import Designation,No,No
16000062,513059863117215,Import Designation,Import Designation,No,No
16000063,513059863117215,Import Designation,Import Designation,No,No
